wave flux error
  1.2750e+03  1.0497e+00  2.6864e-02
  1.2761e+03  1.0433e+00  2.0896e-02
  1.2771e+03  1.0510e+00  2.8879e-02
  1.2782e+03  1.0384e+00  2.6723e-02
  1.2792e+03  1.1020e+00  3.0943e-02
  1.2803e+03  1.0674e+00  3.1180e-02
  1.2814e+03  1.1179e+00  3.7665e-02
  1.2824e+03  1.0067e+00  3.4080e-02
  1.2835e+03  1.0726e+00  2.4624e-02
  1.2845e+03  1.1026e+00  2.9251e-02
  1.2856e+03  1.1412e+00  4.7108e-02
  1.2866e+03  1.0846e+00  3.3855e-02
  1.2877e+03  1.0772e+00  3.2618e-02
  1.2887e+03  1.0511e+00  2.8538e-02
  1.2898e+03  1.0676e+00  2.2754e-02
  1.2908e+03  1.0754e+00  3.2538e-02
  1.2919e+03  1.0086e+00  2.7722e-02
  1.2929e+03  8.7029e-01  2.8656e-02
  1.2940e+03  1.0766e+00  3.0272e-02
  1.2950e+03  9.4263e-01  2.5841e-02
  1.2961e+03  1.0181e+00  2.4427e-02
  1.2971e+03  9.0032e-01  2.9268e-02
  1.2982e+03  9.3177e-01  2.1263e-02
  1.2992e+03  7.1914e-01  3.5668e-02
  1.3003e+03  7.0897e-01  6.1229e-02
  1.3013e+03  6.6299e-01  4.2063e-02
  1.3024e+03  6.7548e-01  5.1186e-02
  1.3034e+03  6.9167e-01  4.5150e-02
  1.3045e+03  8.2723e-01  3.2114e-02
  1.3055e+03  9.2807e-01  4.3544e-02
  1.3066e+03  1.0367e+00  3.3352e-02
  1.3076e+03  1.0655e+00  3.3251e-02
  1.3087e+03  1.1347e+00  2.8658e-02
  1.3097e+03  1.2207e+00  2.2805e-02
  1.3108e+03  1.0794e+00  2.7871e-02
  1.3118e+03  1.0919e+00  2.4241e-02
  1.3129e+03  1.0428e+00  2.8819e-02
  1.3139e+03  1.0197e+00  2.6800e-02
  1.3150e+03  1.0831e+00  3.3965e-02
  1.3160e+03  1.0690e+00  2.6017e-02
  1.3171e+03  1.0659e+00  1.9673e-02
  1.3181e+03  1.0391e+00  2.8075e-02
  1.3192e+03  1.0852e+00  3.4596e-02
  1.3202e+03  9.4153e-01  3.3274e-02
  1.3213e+03  1.0124e+00  4.4429e-02
  1.3223e+03  1.0112e+00  3.5928e-02
  1.3234e+03  1.0056e+00  2.4412e-02
  1.3244e+03  9.3014e-01  2.0689e-02
  1.3255e+03  1.0474e+00  2.4307e-02
  1.3265e+03  9.9763e-01  3.0361e-02
  1.3276e+03  9.9160e-01  3.3204e-02
  1.3286e+03  1.0901e+00  1.7723e-02
  1.3297e+03  9.0876e-01  3.0446e-02
  1.3307e+03  8.3723e-01  4.0668e-02
  1.3318e+03  7.4212e-01  2.9728e-02
  1.3328e+03  7.4876e-01  4.2615e-02
  1.3339e+03  7.4879e-01  3.4738e-02
  1.3349e+03  6.7799e-01  3.1221e-02
  1.3360e+03  8.8144e-01  2.8757e-02
  1.3370e+03  1.0196e+00  5.2971e-02
  1.3381e+03  1.0316e+00  3.4835e-02
  1.3391e+03  9.7960e-01  1.9605e-02
  1.3402e+03  1.0809e+00  1.5370e-02
  1.3412e+03  1.0541e+00  1.9676e-02
  1.3423e+03  1.0075e+00  2.8644e-02
  1.3433e+03  9.7306e-01  3.2243e-02
  1.3444e+03  1.0455e+00  1.8861e-02
  1.3454e+03  1.0160e+00  2.6651e-02
  1.3465e+03  1.0571e+00  2.4122e-02
  1.3475e+03  1.0629e+00  2.2055e-02
  1.3486e+03  1.1299e+00  2.1868e-02
  1.3496e+03  9.7435e-01  2.3377e-02
  1.3507e+03  1.0471e+00  3.7400e-02
  1.3517e+03  1.0757e+00  1.8752e-02
  1.3528e+03  1.0368e+00  1.8349e-02
  1.3538e+03  1.0205e+00  2.6982e-02
  1.3549e+03  1.0675e+00  2.1776e-02
  1.3559e+03  1.0957e+00  2.3136e-02
  1.3570e+03  1.0340e+00  2.4299e-02
  1.3580e+03  1.1292e+00  2.4459e-02
  1.3591e+03  1.0760e+00  2.6943e-02
