wave flux error
  1.4190e+03  8.6850e-01  4.0328e-02
  1.4200e+03  1.0414e+00  4.0358e-02
  1.4211e+03  9.7128e-01  5.0701e-02
  1.4221e+03  9.9043e-01  4.0136e-02
  1.4232e+03  9.3460e-01  3.9696e-02
  1.4242e+03  9.6534e-01  2.9395e-02
  1.4253e+03  9.0888e-01  3.5061e-02
  1.4263e+03  1.0413e+00  4.3389e-02
  1.4274e+03  9.4655e-01  4.4441e-02
  1.4284e+03  9.5410e-01  3.5235e-02
  1.4295e+03  1.0332e+00  3.4214e-02
  1.4305e+03  9.7939e-01  4.3257e-02
  1.4316e+03  9.9050e-01  4.0195e-02
  1.4326e+03  9.9773e-01  2.7028e-02
  1.4337e+03  1.0213e+00  2.5995e-02
  1.4347e+03  1.1552e+00  3.5343e-02
  1.4358e+03  1.1058e+00  2.7945e-02
  1.4368e+03  1.0609e+00  3.0059e-02
  1.4379e+03  9.3611e-01  4.0014e-02
  1.4389e+03  1.1339e+00  3.2335e-02
  1.4400e+03  1.0400e+00  3.6563e-02
  1.4411e+03  9.4929e-01  3.0791e-02
  1.4421e+03  1.1577e+00  2.7300e-02
  1.4432e+03  1.0504e+00  3.1773e-02
  1.4442e+03  9.3534e-01  3.2265e-02
  1.4453e+03  1.0141e+00  3.4459e-02
  1.4463e+03  1.0515e+00  3.0864e-02
  1.4474e+03  1.0314e+00  4.1319e-02
  1.4484e+03  1.1035e+00  2.8926e-02
  1.4495e+03  1.0232e+00  3.5269e-02
  1.4505e+03  9.9175e-01  3.8101e-02
  1.4516e+03  8.9871e-01  4.1210e-02
  1.4526e+03  1.0014e+00  3.7362e-02
  1.4537e+03  1.0764e+00  3.8574e-02
  1.4547e+03  9.7618e-01  3.8466e-02
  1.4558e+03  9.7533e-01  3.4706e-02
  1.4568e+03  1.0258e+00  3.4329e-02
  1.4579e+03  9.8167e-01  3.4136e-02
  1.4589e+03  1.0193e+00  4.6037e-02
  1.4600e+03  1.0363e+00  3.7203e-02
  1.4610e+03  1.0607e+00  3.3560e-02
  1.4621e+03  1.0492e+00  2.9964e-02
  1.4631e+03  1.0068e+00  3.9013e-02
  1.4642e+03  9.7160e-01  5.1095e-02
  1.4652e+03  1.1538e+00  3.1188e-02
